id|geometry:1|length
segment.891e7689293ffff-179AF64A923545FF|LINESTRING (23.918103 49.8245673, 23.9180846 49.8246064, 23.91758 49.8257716)|139,07
segment.891e7689193ffff-17FBB7CE5435BA45|LINESTRING (23.9707585 49.8404949, 23.9707786 49.840505, 23.9709559 49.8405171, 23.9709657 49.8405242, 23.9709506 49.8406192, 23.9709263 49.8407726, 23.9709053 49.8409053, 23.9708832 49.8410445, 23.9708618 49.8411791, 23.9708363 49.8413403, 23.9708403 49.8413997)|113,50
segment.881e768a33fffff-17D9C111B4A7696E|LINESTRING (24.0286584 49.897186, 24.0279868 49.8971567, 24.0268148 49.8971645, 24.025765 49.8971921, 24.0257466 49.8968461, 24.0257894 49.8967753, 24.0258626 49.8967124, 24.0259969 49.8966627, 24.0261922 49.8966352, 24.0286716 49.8966313)|466,12
segment.881e7689a9fffff-17BFB5DA49421427|LINESTRING (24.0106757 49.7998786, 24.0104393 49.7998973, 24.0089062 49.800043, 24.0081487 49.8001281)|183,50
segment.871e76898ffffff-179FF17BCF8749DB|LINESTRING (24.0410489 49.8131393, 24.0409253 49.8130243, 24.0399519 49.8126874, 24.0401586 49.812992, 24.040164 49.8130374, 24.0401453 49.8131083)|144,85
segment.8a1e7689e247fff-17FBF2D391E6CC80|LINESTRING (24.0080575 49.8092891, 24.0082867 49.8093568)|18,09
segment.8c1e7689aaa97ff-17BBA739A0A76C5D|LINESTRING (24.0165331 49.7965729, 24.0165273 49.7965466, 24.0165218 49.7965214)|5,78
segment.8c1e76882615dff-17DBEFDB6BF5419F|LINESTRING (23.9938912 49.8401969, 23.9938475 49.8402093, 23.9938059 49.8402211)|6,68
segment.871e76885ffffff-17DBFCF822AD5EAE|LINESTRING (24.0363985 49.8759459, 24.0366502 49.8759808, 24.0388477 49.8762852, 24.0389174 49.8762947, 24.0401986 49.8764688, 24.0405138 49.8765086, 24.0406838 49.8765348)|313,99
segment.8a1e768950effff-17D96119B0EC5D0A|LINESTRING (23.9615595 49.8473749, 23.9616202 49.8477554)|42,53
segment.881e7689cbfffff-179DE8CDCBCA297F|LINESTRING (24.0170333 49.8356194, 24.0170866 49.8356091, 24.017208 49.8355859, 24.0173147 49.8355654)|21,06
segment.8a1e7689e777fff-17B9EE35BCB502BF|LINESTRING (23.9929301 49.8072308, 23.9930697 49.8073065, 23.9934176 49.8074952)|45,70
segment.881e7689cbfffff-17BFB2BABF2391B6|LINESTRING (24.0142512 49.8333763, 24.0144885 49.8331705, 24.0149378 49.8327977, 24.015125 49.8326456)|102,62
segment.881e768b37fffff-17BFF74526259463|LINESTRING (23.9449587 49.8630419, 23.944788 49.8630784, 23.9444098 49.8631364, 23.9441134 49.8630853, 23.9439672 49.8630075)|76,34
segment.891e7688e73ffff-17BABA285300EBA8|LINESTRING (24.0637076 49.8406531, 24.0635594 49.8411147, 24.0635117 49.8412633, 24.0635041 49.8413022)|73,65
segment.8c1e7688a6891ff-17BA534AC3A0293B|LINESTRING (24.0804861 49.8168478, 24.0804186 49.8167907)|7,99
segment.881e768955fffff-17BAFEE2E0D1C806|LINESTRING (23.9471087 49.8463675, 23.9470549 49.8455989, 23.9483042 49.8454458, 23.9485838 49.8453773)|198,18
segment.881e76893bfffff-179FACF7A9A47621|LINESTRING (23.9661713 49.8205775, 23.9662078 49.8207315, 23.966196 49.8207808, 23.9662564 49.8210196, 23.9662845 49.8211321, 23.9669041 49.8213146, 23.9669509 49.8213275, 23.9669776 49.821334)|117,01
segment.891e7689e6bffff-17996425AE06F3B4|LINESTRING (23.9893035 49.8015881, 23.9888008 49.8016386)|36,51
segment.8a1e76120ceffff-17BF79925AF852A6|LINESTRING (24.1031787 49.7915683, 24.1030946 49.7915566, 24.1028398 49.7915792, 24.1021921 49.7916527)|71,85
